Infobox AM,Infobox Governor,1
Infobox Canadian MP,Infobox senator,1
Infobox Canadian senator,Infobox Mayor,1
Infobox candidate,Infobox Politician,1
Infobox civil servant,Infobox Chancellor,1
Infobox chancellor,Infobox US Chief Justice,1
Infobox congressional candidate,Infobox Vice President,1
Infobox congressman,Infobox US Associate Justice,1
Infobox defense minister,Infobox Indian politician,1
Infobox deputy first minister,Infobox Congressman,1
Infobox deputy prime minister,Infobox Governor General,1
Infobox doge,Infobox US Cabinet official,1
Infobox Eritrea cabinet official,Infobox Prime Minister,1
Infobox first lady,Infobox US Territorial Governor,1
Infobox first minister,Infobox Congressional Candidate,1
Infobox governor,Infobox CanadianMP,0
Infobox governor-elect,Infobox Lt Governor,1
Infobox governor general,Infobox Eritrea Cabinet official,1
Infobox governor-general,Infobox PM,1
Infobox Indian politician,Infobox President,1
Infobox judge,Infobox CanadianSenator,0
Infobox lt governor,Infobox Governor-General,1
Infobox mayor,Infobox university chancellor,0
Infobox MEP,Infobox University Vice-Chancellor,0
Infobox minister,Infobox University President,0
Infobox MLA,Infobox University Rector,0
Infobox MP,Infobox University Pro-Chancellor,0
Infobox MSP,Infobox SCC Puisne Justice,1
Infobox PM,Infobox SCC Chief Justice,1
Infobox politician,Infobox Representative Elect,0
Infobox politician (general),Infobox Senator-Elect,1
Infobox premier,Infobox Governor-Elect,1
Infobox president,Infobox State SC Justice,1
Infobox president-elect,Infobox State SC Associate Justice,1
Infobox prime minister,Infobox Politician (general),1
Infobox prime minister-elect,Infobox US Ambassador,1
Infobox representative-elect,Infobox MP,1
Infobox SCC chief justice,Infobox State Representative,1
Infobox SCC puisne justice,Infobox State Senator,1
Infobox secretary-general,Infobox Judge,1
Infobox senator,Infobox Premier,1
Infobox senator-elect,Infobox Secretary-General,1
Infobox speaker,Infobox Ambassador,0
Infobox state representative,Infobox President-elect,1
Infobox state SC associate justice,Infobox Prime Minister-elect,1
Infobox state SC justice,Infobox AM,1
Infobox state senator,Infobox Speaker,1
Infobox US ambassador,Infobox First Minister,1
Infobox US associate justice,Infobox Minister,1
Infobox US cabinet official,Infobox Deputy Prime Minister,1
Infobox US chief justice,Infobox Deputy First Minister,1
Infobox US territorial governor,Infobox Representative-elect,1
Infobox vice president,Infobox Senator-elect,1
,Infobox Governor-elect,1
,Infobox QuebecMNA,0
,Infobox MEP,1
,Infobox MLA,1
,Infobox Congresswoman,0
,Infobox Senator,1
,Infobox Defense Minister,1
,Infobox OntarioMPP,0
,Infobox Uruguayan politician,0
,Infobox New York State Senator,0
,Infobox First Lady,1
,Infobox Chief Justice,0
,Infobox Indian government official,0
,Infobox Doge,1
,Infobox MSP,1
,Infobox Chairman,0
,Infobox candidate,1
,Infobox University Chancellor,0
,Infobox Officeholder,0
,Infobox politician,1
,Infobox judge,1
,Infobox Member of Parliament,0
,Infobox president,1
,Infobox civil servant,1
,Infobox Welsh Assembly member,0
,Infobox General Secretary,0
,Infobox Chief Executive,0
,Infobox ambassador,0
,Infobox prime minister,1
,Infobox Canadian MP,1
,Infobox Canadian senator,1
,Infobox chancellor,1
,Infobox congressional candidate,1
,Infobox congressman,1
,Infobox defense minister,1
,Infobox deputy first minister,1
,Infobox deputy prime minister,1
,Infobox doge,1
,Infobox first lady,1
,Infobox first minister,1
,Infobox governor,1
,Infobox governor-elect,1
,Infobox governor general,1
,Infobox governor-general,1
,Infobox lt governor,1
,Infobox mayor,1
,Infobox minister,1
,Infobox politician (general),1
,Infobox premier,1
,Infobox president-elect,1
,Infobox prime minister-elect,1
,Infobox representative-elect,1
,Infobox SCC chief justice,1
,Infobox SCC puisne justice,1
,Infobox secretary-general,1
,Infobox senator-elect,1
,Infobox speaker,1
,Infobox state representative,1
,Infobox state SC associate justice,1
,Infobox state SC justice,1
,Infobox state senator,1
,Infobox US associate justice,1
,Infobox US cabinet official,1
,Infobox US chief justice,1
,Infobox US territorial governor,1
,Infobox vice president,1
,Infobox US ambassador,1
,Infobox Eritrea cabinet official,1
,Infobox Candidate,1
,Politician infobox,0
,Officeholder,0
,Infobox office holder,0
,Infobox defence minister,0
,Infobox MPP,0
,Officeholder infobox,0
,Member of State Duma,0
,Infobox Vice-President,0
,Infobox league commissioner,0
,Infobox Politicien,0
,Infobox Ukrainian legislative office,0
,People's deputy,0
,Infobox Politician Basic,0
,Infobox general secretary,0
